Date,Open,High,Low,Close,Adj Close,Volume
2010-02-01,30.690001,31.775000,28.280001,29.785000,21.321531,52999091
2010-03-01,30.205000,34.730000,29.950001,34.180000,24.467680,58196067
2010-04-01,35.110001,37.959999,34.439999,37.130001,26.579432,53812591
2010-05-01,37.080002,40.064999,34.639999,37.965000,27.177166,78728659
2010-06-01,37.959999,42.325001,36.980000,40.064999,28.899101,59944234
2010-07-01,39.560001,43.294998,37.794998,41.310001,29.797131,63321775
2010-08-01,41.459999,45.380001,40.154999,41.665001,30.053188,52217541
2010-09-01,42.000000,52.150002,41.380001,51.439999,37.103947,76279661
2010-10-01,51.439999,51.650002,47.820000,51.509998,37.154442,57376076
2010-11-01,51.770000,60.000000,50.650002,57.930000,41.785225,59271952
2010-12-01,58.349998,65.489998,57.660000,58.849998,42.448822,52372698
2011-01-01,59.259998,61.740002,54.169998,56.080002,40.450809,63830877
2011-02-01,57.029999,63.680000,55.230000,58.779999,42.398327,55638113
2011-03-01,59.320000,61.099998,52.009998,58.750000,42.376694,72368496
2011-04-01,59.200001,63.669998,56.220001,63.669998,45.925514,47870001
2011-05-01,64.000000,65.300003,58.830002,61.480000,44.345860,77521533
2011-06-01,61.279999,70.019997,59.259998,68.809998,50.675232,59969044
2011-07-01,68.699997,73.849998,64.190002,69.820000,51.419041,56223610
2011-08-01,71.599998,71.760002,49.834999,56.349998,41.499043,112679156
2011-09-01,56.500000,57.970001,48.650002,49.965000,36.796806,93569892
2011-10-01,47.259998,62.470001,43.490002,59.060001,43.494831,77958653
2011-11-01,57.250000,61.160000,48.520000,55.980000,41.226555,69641049
2011-12-01,55.630001,57.410000,49.419998,51.759998,38.118729,48918819
2012-01-01,51.840000,66.500000,51.450001,65.389999,48.156563,55051313
2012-02-01,65.129997,72.660004,65.129997,69.430000,51.131832,53873894
2012-03-01,69.360001,73.949997,65.669998,67.430000,49.658928,69301344
2012-04-01,68.379997,72.669998,65.080002,71.809998,52.884583,51235333
2012-05-01,71.809998,73.949997,60.599998,61.099998,44.997185,63597755
2012-06-01,61.070000,61.099998,53.160000,56.930000,43.427517,60844723
2012-07-01,56.900002,61.430000,54.759998,60.770000,46.356750,55794638
2012-08-01,59.299999,62.040001,56.209999,57.660000,43.984375,53794428
2012-09-01,57.230000,62.490002,54.349998,56.910000,43.412258,55997711
2012-10-01,56.849998,63.680000,56.509998,61.450001,46.875473,51327631
2012-11-01,61.750000,68.589996,61.570000,68.190002,52.016903,50767112
2012-12-01,68.459999,74.000000,67.510002,72.930000,55.632690,27669167
2013-01-01,72.930000,76.160004,71.599998,74.150002,56.563328,33339043
2013-02-01,74.239998,75.370003,68.070000,70.699997,53.931583,34959363
2013-03-01,70.699997,73.099998,66.879997,67.309998,51.345615,39505871
2013-04-01,67.309998,70.790001,63.270000,70.050003,53.435757,40685286
2013-05-01,70.050003,74.279999,69.870003,73.690002,56.212425,40701580
2013-06-01,73.250000,74.480003,63.820000,67.180000,53.055748,43055778
2013-07-01,67.540001,74.959999,64.440002,73.589996,58.118073,32954760
2013-08-01,73.459999,75.750000,70.080002,71.290001,56.301640,28280034
2013-09-01,72.330002,82.440002,70.889999,79.470001,62.761837,32344101
2013-10-01,79.970001,84.050003,78.230003,83.540001,65.976135,31290942
2013-11-01,83.360001,85.019997,79.559998,84.570000,66.789589,28568159
2013-12-01,84.720001,85.730003,79.330002,85.220001,67.302925,24304185
2014-01-01,85.220001,86.879997,78.669998,80.820000,63.828007,34944202
2014-02-01,81.070000,86.360001,79.040001,84.199997,66.497375,33561010
